threads, chunks, time
2, 1, 16.0155
2, 1, 16.0283
2, 1, 16.0297
2, 1, 16.0459
2, 1, 16.0142
2, 1, 16.024
2, 1, 16.0232
2, 1, 16.0349
2, 1, 16.001
2, 1, 16.0462
2, 1, 16.0509
2, 1, 16.035
2, 1, 16.0027
2, 1, 16.0455
2, 1, 16.5414
2, 1, 16.0872
2, 1, 16.0468
2, 1, 16.071
2, 1, 16.0349
2, 1, 16.0285
2, 1, 16.0266
2, 1, 16.0619
2, 1, 15.9836
2, 1, 16.022
2, 1, 16.0577
2, 1, 15.9828
2, 1, 15.9868
2, 1, 15.9978
2, 1, 15.9505
2, 1, 15.9911
2, 1, 16.0132
2, 1, 15.9786
2, 1, 15.9609
2, 1, 15.9991
2, 1, 16.0014
2, 1, 15.9253
2, 1, 15.9471
2, 1, 15.9683
2, 1, 16.0929
2, 1, 15.9955
2, 1, 16.046
2, 1, 16.0509
2, 1, 16.0925
2, 1, 16.1018
2, 1, 16.0746
2, 1, 16.0582
2, 1, 16.0566
2, 1, 16.0975
2, 1, 16.1013
2, 1, 16.052
2, 1, 16.0328
2, 1, 16.0459
2, 1, 16.0472
2, 1, 16
2, 1, 16.1128
2, 1, 16.1081
2, 1, 16.0522
2, 1, 16.0245
2, 1, 16.0724
2, 1, 16.048
2, 1, 16.1184
2, 1, 16.0287
2, 1, 16.0481
2, 1, 16.0439
2, 1, 16.0219
2, 1, 16.0295
2, 1, 16.0513
2, 1, 16.0622
2, 1, 15.9885
2, 1, 15.9912
2, 1, 15.9953
2, 1, 15.9021
2, 1, 15.9167
2, 1, 15.9736
2, 1, 15.9753
2, 1, 15.9102
2, 1, 15.9679
2, 1, 15.9769
2, 1, 15.9681
2, 1, 15.9916
2, 1, 15.9883
2, 1, 16.0065
2, 1, 15.9477
2, 1, 16.0318
2, 1, 16.006
2, 1, 16.1505
2, 1, 15.9572
2, 1, 15.9814
2, 1, 15.9794
2, 1, 15.962
2, 1, 15.9991
2, 1, 16.2038
2, 1, 16.2238
2, 1, 16.1087
2, 1, 16.034
2, 1, 15.9929
2, 1, 16.0969
2, 1, 15.9573
2, 1, 15.9393
2, 1, 15.9843
2, 10, 15.8703
2, 10, 15.8019
2, 10, 15.8331
2, 10, 15.8062
2, 10, 15.8088
2, 10, 15.8681
2, 10, 15.9015
2, 10, 16.0218
2, 10, 15.8464
2, 10, 15.8651
2, 10, 15.844
2, 10, 15.8667
2, 10, 15.8696
2, 10, 15.8973
2, 10, 15.9046
2, 10, 15.8383
2, 10, 15.973
2, 10, 15.9574
2, 10, 16.0114
2, 10, 15.9476
2, 10, 15.9779
2, 10, 15.8853
2, 10, 15.8904
2, 10, 15.8121
2, 10, 15.844
2, 10, 15.8256
2, 10, 15.8541
2, 10, 15.8024
2, 10, 15.8351
2, 10, 15.8495
2, 10, 15.849
2, 10, 15.8158
2, 10, 16.0155
2, 10, 15.962
2, 10, 16.0089
2, 10, 15.9062
2, 10, 15.9271
2, 10, 15.908
2, 10, 15.9416
2, 10, 15.9012
2, 10, 15.9086
2, 10, 15.9266
2, 10, 15.8754
2, 10, 15.8538
2, 10, 15.8008
2, 10, 15.7982
2, 10, 15.7683
2, 10, 15.804
2, 10, 15.8012
2, 10, 15.8015
2, 10, 15.837
2, 10, 15.8251
2, 10, 15.858
2, 10, 15.8713
2, 10, 15.831
2, 10, 15.8432
2, 10, 15.883
2, 10, 15.8076
2, 10, 15.829
2, 10, 15.7686
2, 10, 15.8787
2, 10, 15.8477
2, 10, 15.8712
2, 10, 15.8676
2, 10, 15.811
2, 10, 15.792
2, 10, 15.8092
2, 10, 15.8065
2, 10, 15.8017
2, 10, 15.8102
2, 10, 15.7785
2, 10, 15.8676
2, 10, 15.7912
2, 10, 15.7807
2, 10, 15.8101
2, 10, 15.7925
2, 10, 15.8519
2, 10, 15.8265
2, 10, 15.8302
2, 10, 15.8446
2, 10, 15.8538
2, 10, 15.8377
2, 10, 15.8433
2, 10, 15.85
2, 10, 15.7897
2, 10, 15.8635
2, 10, 15.8512
2, 10, 15.8442
2, 10, 15.8844
2, 10, 15.8429
2, 10, 15.8163
2, 10, 15.8034
2, 10, 15.7979
2, 10, 15.8034
2, 10, 15.8477
2, 10, 16.6643
2, 10, 15.8922
2, 10, 15.8652
2, 10, 15.8324
2, 10, 15.9254
2, 50, 15.8415
2, 50, 15.8441
2, 50, 15.7956
2, 50, 15.8078
2, 50, 15.8077
2, 50, 15.7897
2, 50, 15.8136
2, 50, 15.7799
2, 50, 15.7994
2, 50, 15.7803
2, 50, 15.745
2, 50, 15.8727
2, 50, 15.8557
2, 50, 15.8424
2, 50, 15.8153
2, 50, 15.7819
2, 50, 15.7541
2, 50, 15.7389
2, 50, 15.7589
2, 50, 15.7951
2, 50, 15.8062
2, 50, 15.7916
2, 50, 15.8202
2, 50, 15.8125
2, 50, 15.8118
2, 50, 15.7762
2, 50, 15.8388
2, 50, 15.8179
2, 50, 15.7941
2, 50, 15.8238
2, 50, 15.8154
2, 50, 15.8171
2, 50, 15.8124
2, 50, 15.9931
2, 50, 15.9051
2, 50, 15.903
2, 50, 15.8948
2, 50, 15.8963
2, 50, 15.8303
2, 50, 15.8158
2, 50, 15.8372
2, 50, 15.8237
2, 50, 15.838
2, 50, 15.8153
2, 50, 15.8884
2, 50, 15.9055
2, 50, 15.8885
2, 50, 15.9014
2, 50, 15.8906
2, 50, 15.9036
2, 50, 15.8709
2, 50, 15.8912
2, 50, 15.885
2, 50, 15.8838
2, 50, 15.8042
2, 50, 15.8563
2, 50, 15.8858
2, 50, 15.7981
2, 50, 15.8406
2, 50, 16.062
2, 50, 15.8521
2, 50, 15.8899
2, 50, 15.8656
2, 50, 15.9109
2, 50, 15.7997
2, 50, 15.8426
2, 50, 15.8286
2, 50, 15.8639
2, 50, 15.8346
2, 50, 15.8329
2, 50, 15.7896
2, 50, 15.8123
2, 50, 15.83
2, 50, 15.7705
2, 50, 15.8115
2, 50, 15.8626
2, 50, 15.8115
2, 50, 15.7913
2, 50, 15.8114
2, 50, 15.8041
2, 50, 15.8139
2, 50, 15.8216
2, 50, 15.869
2, 50, 15.8778
2, 50, 15.8752
2, 50, 15.8775
2, 50, 15.8468
2, 50, 15.89
2, 50, 15.8946
2, 50, 15.9013
2, 50, 15.8037
2, 50, 15.8234
2, 50, 15.9182
2, 50, 15.8726
2, 50, 15.9644
2, 50, 15.8593
2, 50, 15.8454
2, 50, 15.8667
2, 50, 15.7926
2, 50, 15.8171
2, 100, 15.8256
2, 100, 15.8255
2, 100, 15.8024
2, 100, 15.8226
2, 100, 15.7894
2, 100, 15.848
2, 100, 15.9055
2, 100, 15.8441
2, 100, 15.8261
2, 100, 15.819
2, 100, 15.7818
2, 100, 15.8383
2, 100, 15.8121
2, 100, 15.8094
2, 100, 15.7988
2, 100, 15.8231
2, 100, 15.8038
2, 100, 15.8839
2, 100, 15.8516
2, 100, 15.8241
2, 100, 15.8279
2, 100, 15.7958
2, 100, 15.8114
2, 100, 15.8698
2, 100, 15.8802
2, 100, 15.8698
2, 100, 15.8766
2, 100, 15.9075
2, 100, 15.9024
2, 100, 15.8867
2, 100, 15.8971
2, 100, 15.8894
2, 100, 15.8912
2, 100, 15.8396
2, 100, 15.8413
2, 100, 15.8985
2, 100, 15.8947
2, 100, 15.8265
2, 100, 15.8285
2, 100, 15.8238
2, 100, 15.7926
2, 100, 15.8327
2, 100, 15.826
2, 100, 15.8235
2, 100, 15.8993
2, 100, 15.8584
2, 100, 15.8676
2, 100, 15.8379
2, 100, 15.7973
2, 100, 15.8199
2, 100, 15.84
2, 100, 15.8508
2, 100, 15.7731
2, 100, 15.7711
2, 100, 15.7734
2, 100, 15.7352
2, 100, 15.7806
2, 100, 15.7817
2, 100, 15.7385
2, 100, 16.0223
2, 100, 15.7472
2, 100, 16.0214
2, 100, 15.9374
2, 100, 16.0471
2, 100, 15.8836
2, 100, 15.8271
2, 100, 15.9304
2, 100, 15.964
2, 100, 15.8344
2, 100, 15.8939
2, 100, 15.8835
2, 100, 16.0059
2, 100, 16.3831
2, 100, 15.9444
2, 100, 15.9919
2, 100, 15.8543
2, 100, 15.885
2, 100, 15.9022
2, 100, 15.8932
2, 100, 15.9527
2, 100, 15.7897
2, 100, 15.7363
2, 100, 15.7667
2, 100, 15.8791
2, 100, 15.865
