threads, chunks, time
2, 1, 16.1835
2, 1, 15.9727
2, 1, 15.8599
2, 1, 15.7719
2, 1, 15.786
2, 1, 15.7731
2, 1, 15.8551
2, 1, 15.8273
2, 1, 15.7598
2, 1, 15.6827
2, 1, 15.6949
2, 1, 15.7364
2, 1, 15.8092
2, 1, 15.8385
2, 1, 15.8305
2, 1, 15.8319
2, 1, 15.8186
2, 1, 15.8387
2, 1, 15.8577
2, 1, 15.8051
2, 1, 15.7581
2, 1, 15.7942
2, 1, 15.7898
2, 1, 15.8048
2, 1, 15.7918
2, 1, 15.7732
2, 1, 15.8203
2, 1, 15.8244
2, 1, 15.809
2, 1, 15.7709
2, 1, 15.8078
2, 1, 15.7994
2, 1, 15.7936
2, 1, 15.786
2, 1, 15.7429
2, 1, 15.8573
2, 1, 15.8248
2, 1, 15.8235
2, 1, 15.8815
2, 1, 15.8521
2, 1, 15.8148
2, 1, 15.8684
2, 1, 15.8356
2, 1, 15.8321
2, 1, 15.8481
2, 1, 15.8399
2, 1, 15.8261
2, 1, 15.7926
2, 1, 15.9955
2, 1, 16.1305
2, 1, 15.8635
2, 1, 16.0778
2, 1, 15.8466
2, 1, 15.9058
2, 1, 15.8376
2, 1, 15.8718
2, 1, 15.8203
2, 1, 15.8263
2, 1, 15.8213
2, 1, 15.8193
2, 1, 15.8346
2, 1, 15.8463
2, 1, 15.8063
2, 1, 15.8482
2, 1, 15.7783
2, 1, 15.7306
2, 1, 15.8531
2, 1, 15.667
2, 1, 15.7582
2, 1, 15.7149
2, 1, 15.7135
2, 1, 15.7565
2, 1, 15.702
2, 1, 15.7479
2, 1, 15.7394
2, 1, 15.751
2, 1, 15.7284
2, 1, 15.6475
2, 1, 15.6697
2, 1, 15.763
2, 1, 15.6755
2, 1, 15.8917
2, 1, 15.8471
2, 1, 15.6893
2, 1, 15.717
2, 1, 15.7337
2, 1, 15.7118
2, 1, 15.8045
2, 1, 15.7191
2, 1, 15.7387
2, 1, 15.7236
2, 1, 15.7676
2, 1, 15.7311
2, 1, 15.7642
2, 1, 15.7419
2, 1, 15.8632
2, 1, 15.8502
2, 1, 15.752
2, 1, 15.7652
2, 1, 15.7402
2, 10, 15.7975
2, 10, 15.7875
2, 10, 15.8678
2, 10, 15.8546
2, 10, 15.8116
2, 10, 15.7031
2, 10, 15.7305
2, 10, 15.7388
2, 10, 15.7272
2, 10, 15.7132
2, 10, 15.7049
2, 10, 15.6962
2, 10, 15.667
2, 10, 15.7735
2, 10, 15.7063
2, 10, 15.6935
2, 10, 15.6499
2, 10, 15.7126
2, 10, 15.7871
2, 10, 15.7402
2, 10, 15.7389
2, 10, 15.7405
2, 10, 15.7958
2, 10, 15.8975
2, 10, 15.8505
2, 10, 15.7105
2, 10, 15.7288
2, 10, 15.7119
2, 10, 15.6836
2, 10, 15.6795
2, 10, 15.6997
2, 10, 15.7267
2, 10, 15.6675
2, 10, 15.7344
2, 10, 15.7033
2, 10, 15.7528
2, 10, 15.6749
2, 10, 15.7239
2, 10, 15.7153
2, 10, 15.7335
2, 10, 15.7039
2, 10, 15.7116
2, 10, 15.8506
2, 10, 15.7542
2, 10, 15.7404
2, 10, 15.7869
2, 10, 15.7981
2, 10, 16.0165
2, 10, 15.827
2, 10, 15.9259
2, 10, 15.6537
2, 10, 15.6795
2, 10, 15.7073
2, 10, 15.8928
2, 10, 16.3813
2, 10, 15.7673
2, 10, 15.862
2, 10, 15.7305
2, 10, 15.8449
2, 10, 15.8283
2, 10, 15.8424
2, 10, 15.8016
2, 10, 15.7961
2, 10, 15.8594
2, 10, 15.7777
2, 10, 15.8157
2, 10, 15.7627
2, 10, 15.7635
2, 10, 15.7403
2, 10, 15.8171
2, 10, 16.0125
2, 10, 16.3189
2, 10, 15.8736
2, 10, 15.7394
2, 10, 15.7587
2, 10, 15.8962
2, 10, 15.7998
2, 10, 15.8039
2, 10, 15.905
2, 10, 15.9301
2, 10, 15.7531
2, 10, 15.8307
2, 10, 15.83
2, 10, 15.7865
2, 10, 15.6935
2, 10, 15.7237
2, 10, 15.6613
2, 10, 15.8045
2, 10, 15.8024
2, 10, 15.7749
2, 10, 15.7388
2, 10, 15.7395
2, 10, 15.7403
2, 10, 15.6767
2, 10, 15.7742
2, 10, 15.81
2, 10, 15.7904
2, 10, 15.7567
2, 10, 15.7525
2, 10, 15.7426
2, 50, 15.7617
2, 50, 15.7318
2, 50, 15.7472
2, 50, 15.7672
2, 50, 15.702
2, 50, 15.7399
2, 50, 15.9048
2, 50, 16.4205
2, 50, 15.8603
2, 50, 15.8071
2, 50, 15.7947
2, 50, 15.7662
2, 50, 15.7717
2, 50, 15.7389
2, 50, 15.6854
2, 50, 15.7005
2, 50, 15.6591
2, 50, 15.8935
2, 50, 15.7867
2, 50, 15.7724
2, 50, 15.6619
2, 50, 15.8776
2, 50, 15.7679
2, 50, 15.817
2, 50, 15.7393
2, 50, 15.7592
2, 50, 15.7724
2, 50, 15.7362
2, 50, 15.7626
2, 50, 15.7181
2, 50, 15.73
2, 50, 15.7362
2, 50, 15.7475
2, 50, 15.7143
2, 50, 15.7381
2, 50, 15.7635
2, 50, 15.6983
2, 50, 15.7081
2, 50, 15.861
2, 50, 15.6905
2, 50, 15.7153
2, 50, 15.8259
2, 50, 15.7647
2, 50, 15.7688
2, 50, 15.7569
2, 50, 15.7825
2, 50, 15.7724
2, 50, 15.7267
2, 50, 15.722
2, 50, 15.6996
2, 50, 15.6998
2, 50, 16.1648
2, 50, 16.3629
2, 50, 16.0989
2, 50, 15.7662
2, 50, 15.7101
2, 50, 16.0656
2, 50, 16.3325
2, 50, 16.0364
2, 50, 16.2745
2, 50, 15.7664
2, 50, 15.7703
2, 50, 15.7643
2, 50, 15.8312
2, 50, 16.4668
2, 50, 15.7606
2, 50, 15.7645
2, 50, 15.7724
2, 50, 15.7477
2, 50, 15.6955
2, 50, 15.7026
2, 50, 15.786
2, 50, 15.7816
2, 50, 15.814
2, 50, 15.8516
2, 50, 15.808
2, 50, 15.8619
2, 50, 15.8212
2, 50, 15.7955
2, 50, 15.8398
2, 50, 15.8237
2, 50, 15.9518
2, 50, 15.9385
2, 50, 15.8807
2, 50, 15.9021
2, 50, 16.0523
2, 50, 16.073
2, 50, 15.7236
2, 50, 15.714
2, 50, 15.9569
2, 50, 15.7077
2, 50, 15.696
2, 50, 15.7461
2, 50, 15.7427
2, 50, 15.6729
2, 50, 15.652
2, 50, 15.644
2, 50, 15.8325
2, 50, 15.8329
2, 50, 15.9077
2, 100, 15.9592
2, 100, 16.02
2, 100, 16.0114
2, 100, 15.9836
2, 100, 15.9192
2, 100, 15.9169
2, 100, 15.9592
2, 100, 15.7293
2, 100, 15.7332
2, 100, 15.8478
2, 100, 15.7401
2, 100, 15.7556
2, 100, 15.8973
2, 100, 15.731
2, 100, 15.749
2, 100, 15.7452
2, 100, 15.7765
2, 100, 15.8142
2, 100, 15.9473
2, 100, 16.0167
2, 100, 15.746
2, 100, 15.9639
2, 100, 15.7571
2, 100, 15.8311
2, 100, 15.7404
2, 100, 15.7545
2, 100, 15.7564
2, 100, 15.7607
2, 100, 15.7944
2, 100, 15.8356
2, 100, 15.8111
2, 100, 15.8147
2, 100, 15.7938
2, 100, 15.8083
2, 100, 15.9164
2, 100, 15.8863
2, 100, 15.8128
2, 100, 15.8653
2, 100, 15.8934
2, 100, 15.9204
2, 100, 15.8584
2, 100, 15.9233
2, 100, 15.8509
2, 100, 15.7841
2, 100, 15.8312
2, 100, 15.8368
2, 100, 15.8634
2, 100, 15.8328
2, 100, 15.8352
2, 100, 15.8456
2, 100, 15.8421
2, 100, 15.8094
2, 100, 15.8369
2, 100, 15.8317
2, 100, 15.7974
2, 100, 15.8119
2, 100, 15.8252
