threads, time
1, 31.6513
1, 31.0717
1, 30.9896
1, 30.9126
1, 30.8409
1, 30.8041
1, 30.8325
1, 30.8142
1, 30.7429
1, 30.7852
1, 30.8639
1, 30.8339
1, 30.9095
1, 30.7851
1, 30.9164
1, 30.7724
1, 30.7901
1, 30.9015
1, 30.8351
1, 30.7241
1, 30.8032
1, 30.7563
1, 30.8073
1, 30.7327
1, 30.775
1, 30.8546
1, 30.8582
1, 30.759
1, 30.7483
1, 30.7769
1, 30.7296
1, 30.7421
1, 30.7401
1, 30.7738
1, 30.7358
1, 30.7751
1, 31.4212
1, 31.0129
1, 31.8317
1, 32.1845
1, 31.6005
1, 31.5127
1, 31.1916
1, 31.2372
1, 31.0566
1, 31.0542
1, 31.0674
1, 30.9513
1, 30.9764
1, 30.9372
1, 30.8659
1, 30.9359
1, 30.9098
1, 30.9055
1, 30.871
1, 31.0252
1, 30.9517
1, 33.5186
1, 32.3913
1, 32.9134
1, 31.945
1, 31.7331
1, 31.6308
1, 33.0419
1, 32.9087
1, 31.8593
1, 31.7699
1, 31.6686
1, 31.4938
1, 31.4782
1, 31.3905
1, 31.5441
1, 31.5969
1, 31.5802
1, 31.5243
1, 31.49
1, 31.4347
1, 31.4542
1, 31.5416
1, 32.7077
1, 33.1061
1, 32.4017
1, 33.0645
1, 34.1713
1, 34.7643
1, 33.5141
1, 31.491
1, 31.2308
1, 31.1951
1, 34.9118
1, 32.6544
1, 32.6591
1, 31.4225
1, 32.1377
1, 32.5541
1, 32.6258
1, 31.6484
1, 31.7183
1, 31.8399
1, 33.9365
2, 15.7059
2, 16.2239
2, 16.0655
2, 16.5609
2, 16.5338
2, 17.2982
2, 17.7177
2, 17.8754
2, 17.5712
2, 17.324
2, 16.9277
2, 16.2714
2, 16.1405
2, 16.2129
2, 16.4872
2, 16.4481
2, 16.501
2, 16.2038
2, 16.2899
2, 16.4581
2, 16.2731
2, 16.3519
2, 16.1956
2, 16.2198
2, 16.3575
2, 16.4877
2, 16.4532
2, 17.6914
2, 16.4806
2, 16.3299
2, 16.2307
2, 15.9177
2, 16.2438
2, 17.0272
2, 17.0831
2, 17.2543
2, 18.0079
2, 17.0203
2, 16.4476
2, 16.1304
2, 16.2015
2, 16.1733
2, 16.3059
2, 16.3546
2, 16.5262
2, 16.2046
2, 16.2713
2, 16.2601
2, 16.2351
2, 16.1544
2, 16.3454
2, 16.0602
2, 16.3597
2, 16.1781
2, 16.1984
2, 16.2674
2, 16.1745
2, 16.5869
2, 16.3764
2, 16.3421
2, 16.4269
2, 16.6095
2, 16.2373
2, 16.2989
2, 16.2844
2, 16.2915
2, 16.221
2, 16.2155
2, 16.1783
2, 17.2713
2, 16.6054
2, 16.1372
2, 16.2388
2, 16.3435
2, 16.5199
2, 16.2406
2, 16.2827
2, 16.3943
2, 17.2065
2, 16.7309
2, 17.0171
2, 17.4847
2, 16.7713
2, 16.473
2, 16.5406
2, 17.1346
2, 16.5576
2, 16.3064
2, 16.25
2, 16.4877
2, 16.2895
2, 16.2422
2, 16.3046
2, 16.1792
2, 16.2931
2, 16.4469
2, 16.6111
2, 16.4588
2, 16.2259
2, 16.242
4, 8.18005
4, 8.45766
4, 8.41516
4, 8.17284
4, 8.29259
4, 8.23072
4, 8.20435
4, 8.36053
4, 8.20267
4, 8.50098
4, 8.59433
4, 8.463
4, 8.46892
4, 8.52051
4, 8.2328
4, 8.40605
4, 8.20479
4, 8.94786
4, 8.4455
4, 8.359
4, 8.36235
4, 8.38508
4, 8.33295
4, 8.40519
4, 8.13358
4, 8.45376
4, 8.14993
4, 8.36109
4, 8.19207
4, 8.40468
4, 8.29412
4, 8.42723
4, 8.38973
4, 8.17776
4, 8.3623
4, 8.20437
4, 8.6122
4, 8.23364
4, 8.15486
