threads, chunks, time
2, 1, 15.6053
2, 1, 15.2774
2, 1, 15.1622
2, 1, 15.095
2, 1, 15.0821
2, 1, 15.0865
2, 1, 15.0538
2, 1, 15.2815
2, 1, 15.2971
2, 1, 15.173
2, 1, 15.0963
2, 1, 15.154
2, 1, 15.2546
2, 1, 15.032
2, 1, 15.086
2, 1, 14.9942
2, 1, 15.0557
2, 1, 15.074
2, 1, 15.0795
2, 1, 15.0914
2, 1, 15.0617
2, 1, 15.0555
2, 1, 15.0317
2, 1, 15.0079
2, 1, 14.9641
2, 1, 15.0312
2, 1, 14.9736
2, 1, 15.0335
2, 1, 15.0757
2, 1, 15.0932
2, 1, 15.0738
2, 1, 15.1466
2, 1, 15.1687
2, 1, 15.0032
2, 1, 15.0132
2, 1, 15.0775
2, 1, 15.0347
2, 1, 15.2401
2, 1, 15.2351
2, 1, 15.1844
2, 1, 15.0339
2, 1, 15.023
2, 1, 15.1788
2, 1, 15.165
2, 1, 15.1051
2, 1, 14.9791
2, 1, 15.089
2, 1, 15.0451
2, 1, 15.0305
2, 1, 15.1144
2, 1, 15.0438
2, 1, 15.0957
2, 1, 15.1087
2, 1, 15.1765
2, 1, 15.2358
2, 1, 15.1981
2, 1, 15.0176
2, 1, 15.0036
2, 1, 15.1105
2, 1, 15.0838
2, 1, 14.9583
2, 1, 14.9309
2, 1, 15.1902
2, 1, 15.1074
2, 1, 15.0648
2, 1, 14.9372
2, 1, 14.9981
2, 1, 15.0014
2, 1, 14.9646
2, 1, 15.038
2, 1, 14.9919
2, 1, 14.9391
2, 1, 14.9004
2, 1, 14.9001
2, 1, 14.9357
2, 1, 14.9217
2, 1, 14.9493
2, 1, 14.9406
2, 1, 14.952
2, 1, 14.9888
2, 1, 15.2396
2, 1, 15.1087
2, 1, 15.0568
2, 1, 14.9916
2, 1, 14.9944
2, 1, 15.0269
2, 1, 14.9984
2, 1, 14.9803
2, 1, 15.0286
2, 1, 15.064
2, 1, 15.0213
2, 1, 14.978
2, 1, 15.0521
2, 1, 15.125
2, 1, 15.0006
2, 1, 15.1127
2, 1, 15.0831
2, 1, 14.9377
2, 1, 14.9333
2, 1, 14.8857
2, 10, 14.7918
2, 10, 14.8071
2, 10, 14.7658
2, 10, 14.772
2, 10, 14.7613
2, 10, 14.7639
2, 10, 14.7347
2, 10, 14.7707
2, 10, 14.764
2, 10, 14.8375
2, 10, 14.8217
2, 10, 14.9636
2, 10, 14.8514
2, 10, 14.8383
2, 10, 14.8173
2, 10, 14.9533
2, 10, 14.9404
2, 10, 14.942
2, 10, 14.8699
2, 10, 14.9179
2, 10, 14.9458
2, 10, 14.9962
2, 10, 14.8979
2, 10, 14.9254
2, 10, 14.9999
2, 10, 14.8684
2, 10, 14.8627
2, 10, 14.8655
2, 10, 15.1185
2, 10, 14.8846
2, 10, 14.808
2, 10, 14.8585
2, 10, 14.9024
2, 10, 14.938
2, 10, 15.0514
2, 10, 15.055
2, 10, 14.9831
2, 10, 14.8618
2, 10, 14.8189
2, 10, 14.8272
2, 10, 14.889
2, 10, 14.8254
2, 10, 14.9344
2, 10, 14.8583
2, 10, 14.8578
2, 10, 14.7781
2, 10, 14.8144
2, 10, 14.7773
2, 10, 14.8573
2, 10, 14.9183
2, 10, 14.9921
2, 10, 14.9817
2, 10, 15.0147
2, 10, 15.053
2, 10, 15.0515
2, 10, 15.032
2, 10, 15.0736
2, 10, 14.9976
2, 10, 15.0685
2, 10, 15.1116
2, 10, 15.057
2, 10, 15.0897
2, 10, 15.1652
