mode,device,size,run,time_sec,iterations,error,eps,max_iters
openacc,gpu,512,1,13.86767906,339599,9.999842e-07,1e-06,1000000
openacc,gpu,512,2,13.86592023,339599,9.999842e-07,1e-06,1000000
openacc,gpu,512,3,13.87339287,339599,9.999842e-07,1e-06,1000000
openacc,gpu,512,4,13.87433745,339599,9.999842e-07,1e-06,1000000
openacc,gpu,512,5,13.85807336,339599,9.999842e-07,1e-06,1000000
openacc,gpu,512,6,13.86125765,339599,9.999842e-07,1e-06,1000000
openacc,gpu,512,7,13.852023,339599,9.999842e-07,1e-06,1000000
openacc,gpu,512,8,13.84678915,339599,9.999842e-07,1e-06,1000000
openacc,gpu,512,9,13.87083473,339599,9.999842e-07,1e-06,1000000
openacc,gpu,512,10,13.86497713,339599,9.999842e-07,1e-06,1000000
