mode,device,size,run,time_sec,iterations,error,eps,max_iters,check_every
openacc,gpu,512,1,6.870189594,339600,9.999653e-07,1e-06,1000000,100
openacc,gpu,512,2,6.818583565,339600,9.999653e-07,1e-06,1000000,100
openacc,gpu,512,3,6.838323091,339600,9.999653e-07,1e-06,1000000,100
openacc,gpu,512,4,6.836917975,339600,9.999653e-07,1e-06,1000000,100
openacc,gpu,512,5,6.82957015,339600,9.999653e-07,1e-06,1000000,100
openacc,gpu,512,6,6.830103262,339600,9.999653e-07,1e-06,1000000,100
openacc,gpu,512,7,6.829519128,339600,9.999653e-07,1e-06,1000000,100
openacc,gpu,512,8,6.837477609,339600,9.999653e-07,1e-06,1000000,100
openacc,gpu,512,9,6.819248804,339600,9.999653e-07,1e-06,1000000,100
openacc,gpu,512,10,6.833145858,339600,9.999653e-07,1e-06,1000000,100
